boxscore_id,date,team_abbr,opponent_abbr,team_name,opponent_name,team_score,opponent_score,margin,location,pace,completed,year
202001040BRK,"Sat, Jan 4, 2020",BRK,TOR,Brooklyn Nets,Toronto Raptors,102,121,-19,Home,97.5,True,2020
202001060ORL,"Mon, Jan 6, 2020",ORL,BRK,Orlando Magic,Brooklyn Nets,101,89,12,Home,100.7,True,2020
202001100BRK,"Fri, Jan 10, 2020",BRK,MIA,Brooklyn Nets,Miami Heat,117,113,4,Home,95.7,True,2020
202001120BRK,"Sun, Jan 12, 2020",BRK,ATL,Brooklyn Nets,Atlanta Hawks,108,86,22,Home,106.9,True,2020
202001140BRK,"Tue, Jan 14, 2020",BRK,UTA,Brooklyn Nets,Utah Jazz,107,118,-11,Home,96.7,True,2020
202001150PHI,"Wed, Jan 15, 2020",PHI,BRK,Philadelphia 76ers,Brooklyn Nets,117,106,11,Home,98.4,True,2020
202001200BRK,"Mon, Jan 20, 2020",BRK,PHI,Brooklyn Nets,Philadelphia 76ers,111,117,-6,Home,102.8,True,2020
202001230BRK,"Thu, Jan 23, 2020",BRK,LAL,Brooklyn Nets,Los Angeles Lakers,113,128,-15,Home,104.3,True,2020
202001250DET,"Sat, Jan 25, 2020",DET,BRK,Detroit Pistons,Brooklyn Nets,111,121,-10,Home,92.8,True,2020
202001260NYK,"Sun, Jan 26, 2020",NYK,BRK,New York Knicks,Brooklyn Nets,110,97,13,Home,95.1,True,2020
202001290BRK,"Wed, Jan 29, 2020",BRK,DET,Brooklyn Nets,Detroit Pistons,125,115,10,Home,98.4,True,2020
202001310BRK,"Fri, Jan 31, 2020",BRK,CHI,Brooklyn Nets,Chicago Bulls,133,118,15,Home,101.2,True,2020
202002030BRK,"Mon, Feb 3, 2020",BRK,PHO,Brooklyn Nets,Phoenix Suns,119,97,22,Home,99.5,True,2020
202002050BRK,"Wed, Feb 5, 2020",BRK,GSW,Brooklyn Nets,Golden State Warriors,129,88,41,Home,101.7,True,2020
202002080TOR,"Sat, Feb 8, 2020",TOR,BRK,Toronto Raptors,Brooklyn Nets,119,118,1,Home,95.6,True,2020
202002100IND,"Mon, Feb 10, 2020",IND,BRK,Indiana Pacers,Brooklyn Nets,105,106,-1,Home,94.6,True,2020
202002120BRK,"Wed, Feb 12, 2020",BRK,TOR,Brooklyn Nets,Toronto Raptors,101,91,10,Home,98.5,True,2020
202002200PHI,"Thu, Feb 20, 2020",PHI,BRK,Philadelphia 76ers,Brooklyn Nets,112,104,8,Home,94.8,True,2020
202002220CHO,"Sat, Feb 22, 2020",CHO,BRK,Charlotte Hornets,Brooklyn Nets,86,115,-29,Home,96.6,True,2020
202002240BRK,"Mon, Feb 24, 2020",BRK,ORL,Brooklyn Nets,Orlando Magic,113,115,-2,Home,97.2,True,2020
202002280ATL,"Fri, Feb 28, 2020",ATL,BRK,Atlanta Hawks,Brooklyn Nets,141,118,23,Home,101.7,True,2020
202002290MIA,"Sat, Feb 29, 2020",MIA,BRK,Miami Heat,Brooklyn Nets,116,113,3,Home,95.5,True,2020
202003030BOS,"Tue, Mar 3, 2020",BOS,BRK,Boston Celtics,Brooklyn Nets,120,129,-9,Home,100.0,True,2020
202003040BRK,"Wed, Mar 4, 2020",BRK,MEM,Brooklyn Nets,Memphis Grizzlies,79,118,-39,Home,93.8,True,2020
202003060BRK,"Fri, Mar 6, 2020",BRK,SAS,Brooklyn Nets,San Antonio Spurs,139,120,19,Home,106.1,True,2020
202003080BRK,"Sun, Mar 8, 2020",BRK,CHI,Brooklyn Nets,Chicago Bulls,110,107,3,Home,103.1,True,2020
202003100LAL,"Tue, Mar 10, 2020",LAL,BRK,Los Angeles Lakers,Brooklyn Nets,102,104,-2,Home,95.0,True,2020
202007310BRK,"Fri, Jul 31, 2020",BRK,ORL,Brooklyn Nets,Orlando Magic,118,128,-10,Home,103.0,True,2020
202008050BOS,"Wed, Aug 5, 2020",BOS,BRK,Boston Celtics,Brooklyn Nets,149,115,34,Home,110.2,True,2020
202008070BRK,"Fri, Aug 7, 2020",BRK,SAC,Brooklyn Nets,Sacramento Kings,119,106,13,Home,99.1,True,2020
202008090LAC,"Sun, Aug 9, 2020",LAC,BRK,Los Angeles Clippers,Brooklyn Nets,120,129,-9,Home,100.1,True,2020
202008110ORL,"Tue, Aug 11, 2020",ORL,BRK,Orlando Magic,Brooklyn Nets,96,108,-12,Home,100.3,True,2020
202008130BRK,"Thu, Aug 13, 2020",BRK,POR,Brooklyn Nets,Portland Trail Blazers,133,134,-1,Home,104.8,True,2020
202008170TOR,"Mon, Aug 17, 2020",TOR,BRK,Toronto Raptors,Brooklyn Nets,134,110,24,Home,101.0,True,2020
202008190TOR,"Wed, Aug 19, 2020",TOR,BRK,Toronto Raptors,Brooklyn Nets,104,99,5,Home,100.5,True,2020
202008210BRK,"Fri, Aug 21, 2020",BRK,TOR,Brooklyn Nets,Toronto Raptors,92,117,-25,Home,100.8,True,2020
202008230BRK,"Sun, Aug 23, 2020",BRK,TOR,Brooklyn Nets,Toronto Raptors,122,150,-28,Home,109.3,True,2020
201910230MIA,"Wed, Oct 23, 2019",MIA,MEM,Miami Heat,Memphis Grizzlies,120,101,19,Home,112.0,True,2020
201910270MIN,"Sun, Oct 27, 2019",MIN,MIA,Minnesota Timberwolves,Miami Heat,116,109,7,Home,103.9,True,2020
201910290MIA,"Tue, Oct 29, 2019",MIA,ATL,Miami Heat,Atlanta Hawks,112,97,15,Home,102.1,True,2020
201910310ATL,"Thu, Oct 31, 2019",ATL,MIA,Atlanta Hawks,Miami Heat,97,106,-9,Home,95.3,True,2020
201911050DEN,"Tue, Nov 5, 2019",DEN,MIA,Denver Nuggets,Miami Heat,109,89,20,Home,98.6,True,2020
201911070PHO,"Thu, Nov 7, 2019",PHO,MIA,Phoenix Suns,Miami Heat,108,124,-16,Home,99.2,True,2020
201911080LAL,"Fri, Nov 8, 2019",LAL,MIA,Los Angeles Lakers,Miami Heat,95,80,15,Home,94.3,True,2020
201911120MIA,"Tue, Nov 12, 2019",MIA,DET,Miami Heat,Detroit Pistons,117,108,9,Home,98.5,True,2020
201911140CLE,"Thu, Nov 14, 2019",CLE,MIA,Cleveland Cavaliers,Miami Heat,97,108,-11,Home,98.1,True,2020
201911200MIA,"Wed, Nov 20, 2019",MIA,CLE,Miami Heat,Cleveland Cavaliers,124,100,24,Home,99.9,True,2020
201911220CHI,"Fri, Nov 22, 2019",CHI,MIA,Chicago Bulls,Miami Heat,108,116,-8,Home,97.3,True,2020
201911230PHI,"Sat, Nov 23, 2019",PHI,MIA,Philadelphia 76ers,Miami Heat,113,86,27,Home,93.7,True,2020
201911250MIA,"Mon, Nov 25, 2019",MIA,CHO,Miami Heat,Charlotte Hornets,117,100,17,Home,98.0,True,2020
201911290MIA,"Fri, Nov 29, 2019",MIA,GSW,Miami Heat,Golden State Warriors,122,105,17,Home,96.6,True,2020
201912030TOR,"Tue, Dec 3, 2019",TOR,MIA,Toronto Raptors,Miami Heat,110,121,-11,Home,96.5,True,2020
201912040BOS,"Wed, Dec 4, 2019",BOS,MIA,Boston Celtics,Miami Heat,112,93,19,Home,92.0,True,2020
201912080MIA,"Sun, Dec 8, 2019",MIA,CHI,Miami Heat,Chicago Bulls,110,105,5,Home,89.6,True,2020
201912100MIA,"Tue, Dec 10, 2019",MIA,ATL,Miami Heat,Atlanta Hawks,135,121,14,Home,99.7,True,2020
201912130MIA,"Fri, Dec 13, 2019",MIA,LAL,Miami Heat,Los Angeles Lakers,110,113,-3,Home,99.0,True,2020
201912140DAL,"Sat, Dec 14, 2019",DAL,MIA,Dallas Mavericks,Miami Heat,118,122,-4,Home,97.8,True,2020
201912160MEM,"Mon, Dec 16, 2019",MEM,MIA,Memphis Grizzlies,Miami Heat,118,111,7,Home,97.1,True,2020
201912180PHI,"Wed, Dec 18, 2019",PHI,MIA,Philadelphia 76ers,Miami Heat,104,108,-4,Home,92.3,True,2020
201912200MIA,"Fri, Dec 20, 2019",MIA,NYK,Miami Heat,New York Knicks,129,114,15,Home,100.3,True,2020
201912230MIA,"Mon, Dec 23, 2019",MIA,UTA,Miami Heat,Utah Jazz,107,104,3,Home,98.7,True,2020
