boxscore_id,date,team,opponent,team_name,opponent_name,team_score,opponent_score,margin,location,pace,completed,year
202412020BOS,2024-12-02,BOS,MIA,Boston Celtics,Miami Heat,108.0,89.0,19.0,Home,94.3,True,2025
202412030SAC,2024-12-03,SAC,HOU,Sacramento Kings,Houston Rockets,120.0,111.0,9.0,Home,96.0,True,2025
202412030CHO,2024-12-03,CHO,PHI,Charlotte Hornets,Philadelphia 76ers,104.0,110.0,-6.0,Home,90.8,True,2025
202412030DAL,2024-12-03,DAL,MEM,Dallas Mavericks,Memphis Grizzlies,121.0,116.0,5.0,Home,107.2,True,2025
202412030PHO,2024-12-03,PHO,SAS,Phoenix Suns,San Antonio Spurs,104.0,93.0,11.0,Home,99.6,True,2025
202412030DEN,2024-12-03,DEN,GSW,Denver Nuggets,Golden State Warriors,119.0,115.0,4.0,Home,104.5,True,2025
202412030NYK,2024-12-03,NYK,ORL,New York Knicks,Orlando Magic,121.0,106.0,15.0,Home,103.7,True,2025
202412030OKC,2024-12-03,OKC,UTA,Oklahoma City Thunder,Utah Jazz,133.0,106.0,27.0,Home,95.0,True,2025
202412030DET,2024-12-03,DET,MIL,Detroit Pistons,Milwaukee Bucks,107.0,128.0,-21.0,Home,100.5,True,2025
202412030CLE,2024-12-03,CLE,WAS,Cleveland Cavaliers,Washington Wizards,118.0,87.0,31.0,Home,101.3,True,2025
202412030LAC,2024-12-03,LAC,POR,Los Angeles Clippers,Portland Trail Blazers,127.0,105.0,22.0,Home,90.8,True,2025
202412030TOR,2024-12-03,TOR,IND,Toronto Raptors,Indiana Pacers,122.0,111.0,11.0,Home,106.1,True,2025
202412040BOS,2024-12-04,BOS,DET,Boston Celtics,Detroit Pistons,130.0,120.0,10.0,Home,101.2,True,2025
202412040LAC,2024-12-04,LAC,MIN,Los Angeles Clippers,Minnesota Timberwolves,80.0,108.0,-28.0,Home,99.9,True,2025
202412040MIL,2024-12-04,MIL,ATL,Milwaukee Bucks,Atlanta Hawks,104.0,119.0,-15.0,Home,103.5,True,2025
202412040BRK,2024-12-04,BRK,IND,Brooklyn Nets,Indiana Pacers,99.0,90.0,9.0,Home,96.5,True,2025
202412040PHI,2024-12-04,PHI,ORL,Philadelphia 76ers,Orlando Magic,102.0,106.0,-4.0,Home,89.8,True,2025
202412040MIA,2024-12-04,MIA,LAL,Miami Heat,Los Angeles Lakers,134.0,93.0,41.0,Home,95.5,True,2025
202412050GSW,2024-12-05,GSW,HOU,Golden State Warriors,Houston Rockets,99.0,93.0,6.0,Home,94.4,True,2025
202412050NYK,2024-12-05,NYK,CHO,New York Knicks,Charlotte Hornets,125.0,101.0,24.0,Home,92.2,True,2025
202412050MEM,2024-12-05,MEM,SAC,Memphis Grizzlies,Sacramento Kings,115.0,110.0,5.0,Home,105.4,True,2025
202412050SAS,2024-12-05,SAS,CHI,San Antonio Spurs,Chicago Bulls,124.0,139.0,-15.0,Home,105.8,True,2025
202412050WAS,2024-12-05,WAS,DAL,Washington Wizards,Dallas Mavericks,101.0,137.0,-36.0,Home,102.5,True,2025
202412050TOR,2024-12-05,TOR,OKC,Toronto Raptors,Oklahoma City Thunder,92.0,129.0,-37.0,Home,102.4,True,2025
202412050NOP,2024-12-05,NOP,PHO,New Orleans Pelicans,Phoenix Suns,126.0,124.0,2.0,Home,103.4,True,2025
202412050CLE,2024-12-05,CLE,DEN,Cleveland Cavaliers,Denver Nuggets,126.0,114.0,12.0,Home,109.4,True,2025
202412060SAS,2024-12-06,SAS,SAC,San Antonio Spurs,Sacramento Kings,113.0,140.0,-27.0,Home,103.0,True,2025
202412060GSW,2024-12-06,GSW,MIN,Golden State Warriors,Minnesota Timberwolves,90.0,107.0,-17.0,Home,101.5,True,2025
202412060CHI,2024-12-06,CHI,IND,Chicago Bulls,Indiana Pacers,123.0,132.0,-9.0,Home,103.1,True,2025
202412060BOS,2024-12-06,BOS,MIL,Boston Celtics,Milwaukee Bucks,111.0,105.0,6.0,Home,93.2,True,2025
202412060POR,2024-12-06,POR,UTA,Portland Trail Blazers,Utah Jazz,99.0,141.0,-42.0,Home,106.2,True,2025
202412060PHI,2024-12-06,PHI,ORL,Philadelphia 76ers,Orlando Magic,102.0,94.0,8.0,Home,95.2,True,2025
202412060ATL,2024-12-06,ATL,LAL,Atlanta Hawks,Los Angeles Lakers,134.0,132.0,2.0,Home,102.3,True,2025
202412070CHO,2024-12-07,CHO,CLE,Charlotte Hornets,Cleveland Cavaliers,102.0,116.0,-14.0,Home,91.3,True,2025
202412070BOS,2024-12-07,BOS,MEM,Boston Celtics,Memphis Grizzlies,121.0,127.0,-6.0,Home,107.8,True,2025
202412070TOR,2024-12-07,TOR,DAL,Toronto Raptors,Dallas Mavericks,118.0,125.0,-7.0,Home,101.7,True,2025
202412070NYK,2024-12-07,NYK,DET,New York Knicks,Detroit Pistons,111.0,120.0,-9.0,Home,99.8,True,2025
202412070NOP,2024-12-07,NOP,OKC,New Orleans Pelicans,Oklahoma City Thunder,109.0,119.0,-10.0,Home,100.7,True,2025
202412070WAS,2024-12-07,WAS,DEN,Washington Wizards,Denver Nuggets,122.0,113.0,9.0,Home,102.4,True,2025
202412070MIA,2024-12-07,MIA,PHO,Miami Heat,Phoenix Suns,121.0,111.0,10.0,Home,93.0,True,2025
202412080LAC,2024-12-08,LAC,HOU,Los Angeles Clippers,Houston Rockets,106.0,117.0,-11.0,Home,95.6,True,2025
202412080IND,2024-12-08,IND,CHO,Indiana Pacers,Charlotte Hornets,109.0,113.0,-4.0,Home,101.9,True,2025
202412080WAS,2024-12-08,WAS,MEM,Washington Wizards,Memphis Grizzlies,112.0,140.0,-28.0,Home,109.7,True,2025
202412080SAS,2024-12-08,SAS,NOP,San Antonio Spurs,New Orleans Pelicans,121.0,116.0,5.0,Home,99.9,True,2025
202412080GSW,2024-12-08,GSW,MIN,Golden State Warriors,Minnesota Timberwolves,114.0,106.0,8.0,Home,94.9,True,2025
202412080CHI,2024-12-08,CHI,PHI,Chicago Bulls,Philadelphia 76ers,100.0,108.0,-8.0,Home,102.5,True,2025
202412080BRK,2024-12-08,BRK,MIL,Brooklyn Nets,Milwaukee Bucks,113.0,118.0,-5.0,Home,92.5,True,2025
202412080LAL,2024-12-08,LAL,POR,Los Angeles Lakers,Portland Trail Blazers,107.0,98.0,9.0,Home,95.0,True,2025
202412080SAC,2024-12-08,SAC,UTA,Sacramento Kings,Utah Jazz,141.0,97.0,44.0,Home,98.9,True,2025
202412080MIA,2024-12-08,MIA,CLE,Miami Heat,Cleveland Cavaliers,122.0,113.0,9.0,Home,96.6,True,2025
202412080ATL,2024-12-08,ATL,DEN,Atlanta Hawks,Denver Nuggets,111.0,141.0,-30.0,Home,106.4,True,2025
202412080ORL,2024-12-08,ORL,PHO,Orlando Magic,Phoenix Suns,115.0,110.0,5.0,Home,99.6,True,2025
202412090TOR,2024-12-09,TOR,NYK,Toronto Raptors,New York Knicks,108.0,113.0,-5.0,Home,93.8,True,2025
202412100OKC,2024-12-10,OKC,DAL,Oklahoma City Thunder,Dallas Mavericks,118.0,104.0,14.0,Home,99.2,True,2025
202412100MIL,2024-12-10,MIL,ORL,Milwaukee Bucks,Orlando Magic,114.0,109.0,5.0,Home,98.9,True,2025
202412110HOU,2024-12-11,HOU,GSW,Houston Rockets,Golden State Warriors,91.0,90.0,1.0,Home,95.1,True,2025
202412110NYK,2024-12-11,NYK,ATL,New York Knicks,Atlanta Hawks,100.0,108.0,-8.0,Home,99.2,True,2025
202412120BOS,2024-12-12,BOS,DET,Boston Celtics,Detroit Pistons,123.0,99.0,24.0,Home,99.9,True,2025
202412120NOP,2024-12-12,NOP,SAC,New Orleans Pelicans,Sacramento Kings,109.0,111.0,-2.0,Home,95.8,True,2025
202412120MIA,2024-12-12,MIA,TOR,Miami Heat,Toronto Raptors,114.0,104.0,10.0,Home,100.7,True,2025
202412130CHI,2024-12-13,CHI,CHO,Chicago Bulls,Charlotte Hornets,109.0,95.0,14.0,Home,102.6,True,2025
